dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,liking,cross,5,regression,,0,140,20,76,0,0,760,75,0.5907894736842105,1.7834755182266235,5.013630390167236,-0.5277620977221895,0.23076267708529485,0.21404449280327897,0.15180007646929342
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,1,0,140,20,76,140,20,760,29,0.5855263157894737,1.738256573677063,4.623419761657715,-0.4088564732080202,0.18766018588758016,0.22450025038231686,0.15942822101548906
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,2,0,140,20,76,280,40,760,16,0.5473684210526316,1.7370250225067139,4.507813930511475,-0.3736288951531712,0.13326419833902037,0.11559652303517985,0.08314677555353259
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,3,0,140,20,76,420,60,760,17,0.5881578947368421,1.6924004554748535,4.2586140632629395,-0.2976921551570826,0.31036981702345656,0.25992207984330706,0.18231265465407603
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,4,0,140,20,76,560,80,760,20,0.618421052631579,1.767452597618103,4.870883941650391,-0.48426402733334095,0.2773802506599168,0.25241004152954943,0.18383828356331514
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,5,0,140,20,76,700,100,760,17,0.5565789473684211,1.6922129392623901,4.428070545196533,-0.3493292446190206,0.24697597152044182,0.23742762130673153,0.17010762338016297
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,6,0,140,20,76,840,100,760,16,0.6,1.5742149353027344,3.915034532546997,-0.19299613746688848,0.30774327760445885,0.2771400604515501,0.20367145938342385
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,7,0,140,20,76,980,100,760,16,0.5644736842105263,1.6545190811157227,4.179998397827148,-0.27373612114091217,0.21731501999602187,0.20914292251722266,0.15790259210624993
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,8,0,140,20,76,1120,100,760,16,0.5776315789473684,1.7029296159744263,4.3802571296691895,-0.3347594611967555,0.3021117760617926,0.2578253741402065,0.18612672692717383
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,9,0,140,20,76,1260,100,760,16,0.5921052631578947,1.6828151941299438,4.391575336456299,-0.3382082779356088,0.2657665681981598,0.2638377818848591,0.19451768592798907
sidhu,clip-vit-b32,representational,liking,cross,5,hinge,10,0,140,20,76,1400,100,760,16,0.6289473684210526,1.602857232093811,4.039012908935547,-0.23077488729127427,0.26150880968725687,0.2881373512916537,0.21053678947499993
sidhu,clip-vit-b32,representational,liking,cross,5,bradley_terry,1,0,140,20,76,140,20,760,18,0.5763157894736842,1.788959264755249,4.604371070861816,-0.4030518636864757,0.18250860694388393,0.2157801763323357,0.14646037528695646
sidhu,clip-vit-b32,representational,liking,cross,5,bradley_terry,2,0,140,20,76,280,40,760,16,0.5,1.7807518243789673,4.776599884033203,-0.4555335698431493,0.04895146897615632,0.01159436597409912,0.008390959000815214
sidhu,clip-vit-b32,representational,liking,cross,5,bradley_terry,3,0,140,20,76,420,60,760,17,0.5815789473684211,1.7014451026916504,4.336777687072754,-0.321510168808101,0.2399172404948331,0.2324982800842104,0.1632422932885869
sidhu,clip-vit-b32,representational,liking,cross,5,bradley_terry,4,0,140,20,76,560,80,760,20,0.6052631578947368,1.6789627075195312,4.554319858551025,-0.3878000586755652,0.25711195763142314,0.24434258448649368,0.17544732456249992
sidhu,clip-vit-b32,representational,liking,cross,5,bradley_terry,5,0,140,20,76,700,100,760,17,0.5684210526315789,1.7056074142456055,4.453540802001953,-0.3570905884517859,0.23723840430102427,0.22765225167108394,0.17087043783478256
sidhu,clip-vit-b32,representational,liking,cross,5,bradley_terry,6,0,140,20,76,840,100,760,16,0.5763157894736842,1.6214830875396729,4.11007833480835,-0.2524302380484378,0.2460361594294227,0.21378066890686231,0.16476792219782602
sidhu,clip-vit-b32,representational,liking,cross,5,bradley_terry,7,0,140,20,76,980,100,760,16,0.575,1.6762068271636963,4.336538791656494,-0.3214375261628315,0.20918092552710732,0.1831909823907661,0.14035785964999994
