dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,liking,within,1,regression,,0,140,20,76,0,0,760,57,0.7736842105263158,1.8870793581008911,5.552531719207764,0.317091742764709,0.6846013359390781,0.7013373472386877,0.5279653670422709
sidhu,clip-vit-b32,representational,liking,within,1,hinge,1,0,140,20,76,140,20,760,30,0.7842105263157895,1.7731584310531616,4.644005298614502,0.4288317738514199,0.6778914577735122,0.7138328743427531,0.5414549009056646
sidhu,clip-vit-b32,representational,liking,within,1,hinge,2,0,140,20,76,280,40,760,16,0.775,1.910519003868103,4.929592132568359,0.3937072983209762,0.6878984065988334,0.6980926523553114,0.5167240888227762
sidhu,clip-vit-b32,representational,liking,within,1,hinge,3,0,140,20,76,420,60,760,17,0.7894736842105263,1.9577977657318115,4.917532444000244,0.39519056265644015,0.6917444751488802,0.7297387828774312,0.5594409460568562
sidhu,clip-vit-b32,representational,liking,within,1,hinge,4,0,140,20,76,560,80,760,17,0.8078947368421052,1.845009684562683,4.6826701164245605,0.42407637346880234,0.7090340456852573,0.7152550172065307,0.5691833871804184
sidhu,clip-vit-b32,representational,liking,within,1,hinge,5,0,140,20,76,700,100,760,16,0.7894736842105263,1.9423842430114746,5.1110520362854,0.3713895326559217,0.6906315777596319,0.718458290453098,0.5519467605771932
sidhu,clip-vit-b32,representational,liking,within,1,hinge,6,0,140,20,76,840,100,760,27,0.7868421052631579,1.7352672815322876,4.472372531890869,0.4499409710007195,0.7006853474595118,0.7202394208358874,0.556443271864991
sidhu,clip-vit-b32,representational,liking,within,1,hinge,7,0,140,20,76,980,100,760,16,0.8065789473684211,1.8627146482467651,4.727418422698975,0.418572773489294,0.7016783026920166,0.743104164354487,0.5661857129885531
sidhu,clip-vit-b32,representational,liking,within,1,hinge,8,0,140,20,76,1120,100,760,16,0.8171052631578948,1.9891424179077148,5.077215194702148,0.37555112865454465,0.7239333302541127,0.766521196363874,0.5954130363592395
sidhu,clip-vit-b32,representational,liking,within,1,hinge,9,0,140,20,76,1260,100,760,16,0.8263157894736842,1.8561515808105469,4.5417680740356445,0.44140589135516983,0.7473232130760152,0.7856579925696584,0.6238909411819595
sidhu,clip-vit-b32,representational,liking,within,1,hinge,10,0,140,20,76,1400,100,760,19,0.8276315789473684,1.6701247692108154,4.0437397956848145,0.5026586728262877,0.7573597767341198,0.7637321394853975,0.603656640386869
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,1,0,140,20,76,140,20,760,27,0.75,1.8422096967697144,5.038232803344727,0.38034557109752276,0.6461887659534113,0.6498778671095689,0.490494439643955
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,2,0,140,20,76,280,40,760,16,0.7881578947368421,1.8728218078613281,4.846832752227783,0.40388594302809144,0.6825914594719507,0.7065978951134378,0.5272159484943045
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,3,0,140,20,76,420,60,760,17,0.8026315789473685,1.95191490650177,4.906050205230713,0.3966026984123435,0.7068688997387653,0.740812167117719,0.5706822242763511
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,4,0,140,20,76,560,80,760,16,0.7921052631578948,1.915325403213501,4.973410129547119,0.3883181037851203,0.6696715337166097,0.6966843167038035,0.5444525750975299
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,5,0,140,20,76,700,100,760,16,0.8026315789473685,1.8497240543365479,4.682338237762451,0.4241172014035077,0.6994845280678419,0.7375812794466128,0.5819235024958458
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,6,0,140,20,76,840,100,760,16,0.7894736842105263,1.9468671083450317,5.076944351196289,0.37558436383607463,0.6967682902086381,0.7196042890714818,0.5504479234812605
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,7,0,140,20,76,980,100,760,16,0.8223684210526315,1.9237693548202515,5.029691219329834,0.3813961023492618,0.7218816561507992,0.7511951907445228,0.5774269912080479
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,8,0,140,20,76,1120,100,760,16,0.8157894736842105,2.0115747451782227,5.231543064117432,0.35657017920069556,0.6914972149097594,0.7426899479863964,0.5729304799202499
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,9,0,140,20,76,1260,100,760,16,0.8302631578947368,1.700931191444397,3.9838039875030518,0.5100302109745389,0.7443913960487407,0.7746122227539098,0.6171461742502627
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,10,0,140,20,76,1400,100,760,16,0.8289473684210527,1.857102870941162,4.656830787658691,0.4272543416988235,0.7058518815611023,0.7435321879348473,0.5744293170161827
sidhu,clip-vit-b32,representational,liking,within,1,regression,,1,140,20,76,0,0,760,48,0.7513157894736842,1.8480132818222046,5.282341003417969,0.28074481871919055,0.6031432377058081,0.6035133930762526,0.44026386606466816
sidhu,clip-vit-b32,representational,liking,within,1,hinge,1,1,140,20,76,140,20,760,25,0.7394736842105263,1.8905099630355835,5.862701892852783,0.20172169801227058,0.5882990386598976,0.5924619041673305,0.4447487271790791
sidhu,clip-vit-b32,representational,liking,within,1,hinge,2,1,140,20,76,280,40,760,25,0.7605263157894737,1.755112648010254,4.497557163238525,0.38760280313826423,0.6741549698126619,0.6946709301814332,0.517253981862055
sidhu,clip-vit-b32,representational,liking,within,1,hinge,3,1,140,20,76,420,60,760,19,0.7197368421052631,1.9092248678207397,5.828200340270996,0.20641945156983177,0.6032006595632993,0.6117364734629166,0.4514760188506954
sidhu,clip-vit-b32,representational,liking,within,1,hinge,4,1,140,20,76,560,80,760,17,0.7578947368421053,1.6003491878509521,4.040131092071533,0.44988691079513765,0.6862421659534448,0.7039563884032867,0.5284661346480822
sidhu,clip-vit-b32,representational,liking,within,1,hinge,5,1,140,20,76,700,100,760,19,0.7855263157894737,1.694402813911438,4.606167793273926,0.37281410932735104,0.6638370230612054,0.6778798415395375,0.5030519216664205
sidhu,clip-vit-b32,representational,liking,within,1,hinge,6,1,140,20,76,840,100,760,17,0.7776315789473685,1.6920855045318604,4.45991325378418,0.3927285078384585,0.6566375945549225,0.6690220938747085,0.505294352223626
sidhu,clip-vit-b32,representational,liking,within,1,hinge,7,1,140,20,76,980,100,760,16,0.7513157894736842,1.8595976829528809,5.317268371582031,0.2759890636980784,0.62706455719308,0.6296313312842301,0.47614275497995523
sidhu,clip-vit-b32,representational,liking,within,1,hinge,8,1,140,20,76,1120,100,760,16,0.7723684210526316,1.7437195777893066,4.981189727783203,0.32175031746007554,0.6484383297502063,0.6672422660728969,0.5105266901904387
sidhu,clip-vit-b32,representational,liking,within,1,hinge,9,1,140,20,76,1260,100,760,16,0.756578947368421,1.6888688802719116,4.905752658843994,0.3320219463681221,0.6508791878204647,0.6449185344191688,0.49109229202799154
sidhu,clip-vit-b32,representational,liking,within,1,hinge,10,1,140,20,76,1400,100,760,16,0.756578947368421,1.7882033586502075,5.113001346588135,0.30380256428286334,0.6584542094060453,0.6684564121702566,0.500809491109215
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,1,1,140,20,76,140,20,760,18,0.7684210526315789,1.7494579553604126,5.113309860229492,0.30376052687189825,0.6513580143655417,0.6563287483114019,0.49856706055200967
sidhu,clip-vit-b32,representational,liking,within,1,bradley_terry,2,1,140,20,76,280,40,760,16,0.7526315789473684,1.7529573440551758,4.901615619659424,0.33258526800549304,0.6584159224294126,0.6741960119032301,0.4925872457327951
